バッチ番号,PR番号,タイトル,作成日,作成者,URL
バッチ2,6154,観光政策の新規提案：オーバーツーリズム対策と持続可能な観光モデルの構築,2025-07-13T12:27:57Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6154
バッチ2,6152,よんさまからのご提案：AI活用の原則強化とデジタル民主主義の具体化について,2025-07-13T12:21:58Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6152
バッチ2,6150,淳様ご提案：AI活用における人間の責任と専門性維持の原則を追記,2025-07-13T12:20:52Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6150
バッチ2,6148,（豊田様ご提案）養育費の不払い問題に関する政策を追加,2025-07-13T12:11:36Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6148
バッチ2,6146,「政治改革」に関する改善提案,2025-07-13T12:08:33Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6146
バッチ2,6143,公共施設を多機能拠点として整備する提案,2025-07-13T11:56:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6143
バッチ2,6142,政策の柱として「多様な家族のあり方を支える法整備」を新たに追加,2025-07-13T11:54:47Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6142
バッチ2,6139,ふくとさんによる「持続可能な都市政策」の改善提案,2025-07-13T11:48:01Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6139
バッチ2,6135,2拠点生活など新しいライフスタイルを支援するアイデアを追記,2025-07-13T11:42:27Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6135
バッチ2,6128,【匿名ユーザーさんによる改善提案】個人の納税実績を活用した信用創造の提案,2025-07-13T10:59:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6128
バッチ2,6124,ネット上の私的制裁の根絶と人権保障のための提言,2025-07-13T10:48:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6124
バッチ2,6121,ネット投票における「投票の上書き機能」の原則を追記,2025-07-13T10:25:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6121
バッチ2,6118,子育て支援のあり方を見直し、所得制限の撤廃と一律給付の導入を提案,2025-07-13T10:15:37Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6118
バッチ2,6114,【けいさん提案】性加害の厳罰化を柱とした、被害者を守るための包括的政策,2025-07-13T09:59:58Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6114
バッチ2,6110,安楽死に関する政策の追加提案,2025-07-13T09:53:05Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6110
バッチ2,6108,わたなべさんご提案：消費税一本化と経済のDXによる物価安定,2025-07-13T09:47:48Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6108
バッチ2,6107,ゆうかさんより：教育を通じた日本文化への理解とアイデンティティ確立の提案,2025-07-13T09:47:39Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6107
バッチ2,6105,【既卒の民さん提案】既卒者など多様な経歴を持つ人への就職支援を追加,2025-07-13T09:45:09Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6105
バッチ2,6099,ゆうかさんより：国防と情報公開の透明性強化に関する提案,2025-07-13T09:24:17Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6099
バッチ2,6097,マニフェストに「スクラップ・アンド・ビルド」の原則を追加,2025-07-13T09:23:18Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6097
バッチ2,6095,「（仮称）エンペラー・ワラント・マーク制度」の創設による日本のブランド価値向上,2025-07-13T09:19:04Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6095
バッチ2,6092,マニフェストへの平和主義の原則の追記,2025-07-13T09:03:05Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6092
バッチ2,6091,マニフェスト序文を改善し、「100日プラン」の位置づけを明確化,2025-07-13T09:01:01Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6091
バッチ2,6090,ご提案：「未来型媒介者」としての新しい国会議員像をマニフェストに明記,2025-07-13T09:00:48Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6090
バッチ2,6089,さめまんさんの提案：「チームみらいについて」に人権重視の姿勢を明記,2025-07-13T08:59:15Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6089
バッチ2,6087,マニフェスト改善プロセスにおける外部連携の姿勢を追記,2025-07-13T08:52:56Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6087
バッチ2,6084,SNS時代の選挙運動に関する規制の提案,2025-07-13T08:38:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6084
バッチ2,6079,「デジタル民主主義」ページのリンク切れを修正,2025-07-13T08:26:05Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6079
バッチ2,6078,在外投票のオンライン化をマニフェストに明記,2025-07-13T08:23:12Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6078
バッチ2,6075,ステップ2の産業に一次産業等の担い手支援の項目を追加,2025-07-13T08:02:44Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6075
バッチ2,6072,【改心の一撃さん】子育て支援と未来技術への二つの提案,2025-07-13T07:52:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6072
バッチ2,6071,「人権についての基本的な考え方」の新規追加,2025-07-13T07:51:47Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6071
バッチ2,6069,消費税に関する方針の明確化と、外国人旅行者向け免税制度の廃止,2025-07-13T07:40:39Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6069
バッチ2,6063,未成年者への性犯罪対策強化をマニフェストに明記,2025-07-13T07:23:28Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6063
バッチ2,6056,政策：選択的夫婦別姓制度の導入,2025-07-13T07:08:00Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6056
バッチ2,6054,【コンセプト提案】サイト利用ガイドの新設と、「ステップ」定義に関する見解の確認,2025-07-13T06:55:38Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6054
バッチ2,6053,【きくさん提案】憲法に関する考え方の追加,2025-07-13T06:49:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6053
バッチ2,6048,選択的夫婦別姓の実現に向け、「多様な家族のあり方を支える」項目を追加,2025-07-13T06:33:53Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6048
バッチ2,6046,政策提案における根拠明記のルール強化,2025-07-13T06:30:13Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6046
バッチ2,6045,[ほんさんからのご提案] 動物愛護政策の新規追加,2025-07-13T06:23:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6045
バッチ2,6040,ゆかこさんによる改善提案：不妊治療の対象拡大による多様な家族形成支援,2025-07-13T06:09:36Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6040
バッチ2,6038,政策案の改善提案：「政治資金の透明化」の明記,2025-07-13T06:06:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6038
バッチ2,6033,政策提案：住宅政策の重要性を明確化,2025-07-13T05:52:33Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6033
バッチ2,6030,マニフェストに「性別による寿命格差と年金制度」の視点を追加する提案,2025-07-13T05:43:44Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6030
バッチ2,6016,たすくさんによる「平和と外交に関する基本的な考え方」の追加提案,2025-07-13T04:50:12Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6016
バッチ2,6010,コロナ後遺症・ワクチン後遺症対策の新規提案,2025-07-13T04:25:27Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6010
バッチ2,6009,マニフェストの冒頭に新たなスローガンを追加,2025-07-13T04:25:06Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6009
バッチ2,6008,【匿名ユーザーからの提案】選択的夫婦別姓の導入,2025-07-13T04:19:11Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6008
バッチ2,6006,【いのりさん提案】相続手続きのデジタル化による負担軽減,2025-07-13T04:17:56Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6006
バッチ2,6001,DAOの社会実装による、公正で柔軟な働き方の実現,2025-07-13T03:57:56Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/6001
バッチ3,5999,「プラネタリーヘルス」に関する政策検討の表現を修正,2025-07-13T03:51:12Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5999
バッチ3,5996,AIと著作権に関する基本方針を追記,2025-07-13T03:37:53Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5996
バッチ3,5995,マニフェストへの選択的夫婦別姓に関する記述の追加,2025-07-13T03:36:46Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5995
バッチ3,5994,バグ報告：iOS版ブラウザでハンバーガーメニューの項目が選択できない,2025-07-13T03:31:01Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5994
バッチ3,5992,【政策提案】誰もが安心して使える「ワークスペース環境」の整備,2025-07-13T03:17:43Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5992
バッチ3,5988,AI等デジタル技術の調達・運用に関する原則の追記,2025-07-13T02:58:33Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5988
バッチ3,5983,0289さんによる提案：ステップ1への「ネット広告の健全化」の追加,2025-07-13T02:42:45Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5983
バッチ3,5982,AI・デジタル原則の明確化と、制度の谷間にいる方への配慮を追加,2025-07-13T02:41:00Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5982
バッチ3,5981,政策項目「福祉」に、制度の狭間にある人々への支援についての補足を追記,2025-07-13T02:38:31Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5981
バッチ3,5980,匿名ユーザーによる包括的性教育と多様な家族のあり方に関する改善提案,2025-07-13T02:37:38Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5980
バッチ3,5977,経済的に困難な若者のための就労・自立支援制度の創設,2025-07-13T02:31:05Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5977
バッチ3,5972,生活保護制度の見直しと不正受給対策の強化,2025-07-13T01:57:11Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5972
バッチ3,5971,【匿名ユーザーからの改善提案】人権に関する基本方針の追加,2025-07-13T01:54:54Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5971
バッチ3,5963,目次を更新：デジタル民主主義の項目に政治資金の透明化と罰則強化を追記,2025-07-13T01:31:31Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5963
バッチ3,5959,子育て支援策に関する公平性の議論の追加,2025-07-13T01:15:02Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5959
バッチ3,5958,インボイス制度の廃止と消費税の単一税率化提案,2025-07-13T01:14:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5958
バッチ3,5957,子育て支援の拡充：企業内保育の促進,2025-07-13T01:09:40Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5957
バッチ3,5956,政策評価の基本方針に多角的視点を追加,2025-07-13T01:00:51Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5956
バッチ3,5952,マニフェスト改善提案：大学などの高等教育における経済的負担の軽減を明確化,2025-07-13T00:47:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5952
バッチ3,5950,「分断をあおらない」理念の構造的課題についての言及を追加,2025-07-13T00:43:54Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5950
バッチ3,5943,【重要課題の明記】党の基本方針の不在について,2025-07-13T00:17:20Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5943
バッチ3,5940,【うしさん提案】子育て政策の改善：学童保育の環境を充実に,2025-07-13T00:08:47Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5940
バッチ3,5939,【ふるちゃんさん提案】国際卓越研究大学を中心とした共同研究体制の推進,2025-07-13T00:06:52Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5939
バッチ3,5938,「誰一人取り残さない防災DX」の実現に向けた新規政策提案,2025-07-13T00:05:50Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5938
バッチ3,5933,選択的夫婦別姓に関する方針を追加,2025-07-12T23:48:28Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5933
バッチ3,5932,マニフェストの基本原則としての人権尊重の姿勢を明記,2025-07-12T23:43:19Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5932
バッチ3,5930,高等学校等就学支援金制度の見直し,2025-07-12T23:31:33Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5930
バッチ3,5928,選択的夫婦別姓制度の導入を提案,2025-07-12T23:28:31Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5928
バッチ3,5924,ベルマーク制度の廃止と代替案の提案,2025-07-12T22:56:50Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5924
バッチ3,5919,テクノロジーが苦手な方へのアプローチに関する追記,2025-07-12T22:27:59Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5919
バッチ3,5910,meumoさん提案：葉酸に関する検討プロセスの追記,2025-07-12T19:40:08Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5910
バッチ3,5903,社会保険料と税金の使途に関する議論の明記,2025-07-12T18:12:11Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5903
バッチ3,5896,多様な世帯への配慮と地方創生の視点を追加する提案 by こんごう,2025-07-12T17:00:17Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5896
バッチ3,5893,fさんによる「地方のデジタル産業振興」の追加提案,2025-07-12T16:54:11Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5893
バッチ3,5892,マニフェストに「議員の定年制導入」に関する項目を追加,2025-07-12T16:42:27Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5892
バッチ3,5887,「表現の自由」に関する方針を追加,2025-07-12T16:38:17Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5887
バッチ3,5882,匿名ユーザーによる提案：現場負担への配慮とAI時代の人材活用策の追加,2025-07-12T16:18:26Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5882
バッチ3,5881,はるさんによるマニフェスト改善提案,2025-07-12T16:12:48Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5881
バッチ3,5874,なちさんより：マニフェストの信頼性向上のための3つの提案,2025-07-12T15:37:01Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5874
バッチ3,5873,「世代による一票の価値の違い」に関する議論の提起,2025-07-12T15:34:38Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5873
バッチ3,5869,選挙運動のデジタル化と静穏化に関する提案,2025-07-12T15:26:18Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5869
バッチ3,5868,冒頭文を修正し、マニフェストが目指す方向性をより明確化,2025-07-12T15:25:29Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5868
バッチ3,5858,keiphotoさんによる提案：結婚の有無にかかわらず子どもを産み育てやすい社会の実現,2025-07-12T15:01:36Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5858
バッチ3,5846,【.34さん提案】災害時の非常用通信ネットワーク構築について,2025-07-12T14:36:11Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5846
バッチ3,5840,ひらりさんからの提案：選択的夫婦別姓の実現,2025-07-12T14:19:55Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5840
バッチ3,5839,選択的夫婦別姓制度の実現に関する項目を追加,2025-07-12T14:16:58Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5839
バッチ3,5834,外交政策の項目を見直し、日本の自律性強化に関する議論を提案,2025-07-12T14:07:34Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5834
バッチ3,5833,国の主権と国益を守る姿勢の明確化,2025-07-12T14:06:49Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5833
バッチ3,5832,性犯罪対策の抜本的強化,2025-07-12T14:06:40Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5832
バッチ3,5830,匿名ユーザーからの提案：認定柔道整復師による予防医療の推進,2025-07-12T14:01:12Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5830
バッチ4,5822,福祉分野の政策に、性犯罪の根絶を目指す新たな項目を追加,2025-07-12T13:39:15Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5822
バッチ4,5817,提案：デジタル民主主義に「世代間の声の不均衡を是正する仕組み」を追加,2025-07-12T13:24:58Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5817
バッチ4,5816,改善提案：子どもの安全を守るための新しい政策項目を追加,2025-07-12T13:24:36Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5816
バッチ4,5813,性犯罪・性暴力の根絶と被害者保護の徹底を求める提案,2025-07-12T13:13:14Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5813
バッチ4,5799,支援のあり方に関する基本原則の追加,2025-07-12T12:24:15Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5799
バッチ4,5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,2025-07-12T12:22:40Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5798
バッチ4,5797,国民の安全を守るための性犯罪対策強化,2025-07-12T12:22:23Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5797
バッチ4,5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,2025-07-12T12:20:12Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5796
バッチ4,5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,2025-07-12T12:14:39Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5793
バッチ4,5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,2025-07-12T11:56:44Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5785
バッチ4,5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正,2025-07-12T10:54:35Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5774
バッチ4,5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加,2025-07-12T10:52:04Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5772
バッチ4,5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加,2025-07-12T10:51:09Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5771
バッチ4,5770,政策提案：障害者支援における多角的な負担決定プロセスの導入,2025-07-12T10:43:37Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5770
バッチ4,5767,同性婚の法制化をマニフェストに明記する提案,2025-07-12T10:25:50Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5767
バッチ4,5766,マニフェストの基本理念の明確化,2025-07-12T10:13:39Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5766
バッチ4,5763,政策の追加：同性婚の法制化,2025-07-12T10:07:56Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5763
バッチ4,5762,公的な死後事務支援システムの構築に関する提案,2025-07-12T10:03:43Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5762
バッチ4,5758,ケアマネジャー更新研修制度の負担軽減と抜本的見直し,2025-07-12T09:43:28Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5758
バッチ4,5756,いじめ・性加害の加害者に対する教育改革案の追加,2025-07-12T09:30:38Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5756
バッチ4,5753,匿名ユーザーによる孤独死対策の提案：テクノロジーによる見守り,2025-07-12T09:09:59Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5753
バッチ4,5748,AI活用基本方針の追加：「使われるAI」ではなく、「使いこなす社会」へ,2025-07-12T09:03:49Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5748
バッチ4,5746,ヤングケアラーとそのきょうだいへの医療・福祉サポート体制の強化,2025-07-12T08:56:05Z,app/idobata-policy-app,https://github.com/team-mirai/policy/pull/5746
