PR番号,タイトル,作成日,作成者,現在のラベル,新しいラベル,分類理由,ラベル更新済み,URL
5799,支援のあり方に関する基本原則の追加,2025-07-12T12:24:15Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5799
5798,すぎやまさんによる「コンテンツ産業と表現の自由」に関する改善提案,2025-07-12T12:22:40Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5798
5797,国民の安全を守るための性犯罪対策強化,2025-07-12T12:22:23Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5797
5796,政策提案：老老介護におけるコミュニケーション支援の具体例を追記,2025-07-12T12:20:12Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5796
5793,国民との対話の改革案：提案対応の遅延に対するお詫びと具体的な改善策の明記,2025-07-12T12:14:39Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5793
5785,「チームみらいについて」の記述を改善し、デジタル化への姿勢を明確化,2025-07-12T11:56:44Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5785
5774,【太一郎提案】提案への迅速な応答を義務付け、チームみらいの不誠実な対応を是正,2025-07-12T10:54:35Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5774
5772,教育におけるデジタルと従来手法の最適な組み合わせを求める方針の追加,2025-07-12T10:52:04Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5772
5771,【匿名ユーザーさんによる改善提案】国際宇宙港（スペースポート）構想の追加,2025-07-12T10:51:09Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5771
5770,政策提案：障害者支援における多角的な負担決定プロセスの導入,2025-07-12T10:43:37Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5770
5767,同性婚の法制化をマニフェストに明記する提案,2025-07-12T10:25:50Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5767
5766,マニフェストの基本理念の明確化,2025-07-12T10:13:39Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5766
5763,政策の追加：同性婚の法制化,2025-07-12T10:07:56Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5763
5762,公的な死後事務支援システムの構築に関する提案,2025-07-12T10:03:43Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5762
5758,ケアマネジャー更新研修制度の負担軽減と抜本的見直し,2025-07-12T09:43:28Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5758
5756,いじめ・性加害の加害者に対する教育改革案の追加,2025-07-12T09:30:38Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5756
5753,匿名ユーザーによる孤独死対策の提案：テクノロジーによる見守り,2025-07-12T09:09:59Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5753
5748,AI活用基本方針の追加：「使われるAI」ではなく、「使いこなす社会」へ,2025-07-12T09:03:49Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5748
5746,ヤングケアラーとそのきょうだいへの医療・福祉サポート体制の強化,2025-07-12T08:56:05Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5746
5745,氷河期世代支援と多様な人材登用の呼びかけ,2025-07-12T08:49:33Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5745
5742,「人権に関する基本方針」の追加,2025-07-12T08:41:24Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5742
5732,AIの構造的リスクと世論操作の危険性に関する重大な注意喚起の追記,2025-07-12T08:23:17Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5732
5730,【匿名ユーザーからの提案】労働者の権利保護（産業分野）,2025-07-12T08:20:23Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5730
5728,治安政策強化のため「犯罪を犯した外国人の強制送還手続きの迅速化・厳格化」の項目を追加,2025-07-12T08:06:09Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5728
5726,子どものオンライン上の安全を守るためのAI活用に関する提案,2025-07-12T08:01:43Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5726
5722,「チームみらいが目指す社会像」に出産・育児支援と働き方のビジョンを追記,2025-07-12T07:56:50Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5722
5719,城戸道子さんからの政策改善提案：外交・安全保障と科学技術政策の強化について,2025-07-12T07:37:09Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5719
5718,防衛政策に関する議論の開始,2025-07-12T07:35:18Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5718
5715,【ひらのさん提案】人権に関する基本方針を追加,2025-07-12T07:25:52Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5715
5713,「選択的夫婦別姓」の項目追加と政策方針の具体化,2025-07-12T07:17:30Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5713
5707,賃上げ促進と公正な交渉環境の整備について（門脇さんからのご提案）,2025-07-12T07:04:37Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5707
5704,ひらのさんによる改善提案：ジェンダーと多様性の尊重に関する項目の追加,2025-07-12T06:55:47Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5704
5700,エネルギー政策に関する議論の方向性を追記,2025-07-12T06:47:38Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5700
5694,Keiさんによる「同性婚の法制化」の提案,2025-07-12T06:10:33Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5694
5690,就職氷河期世代への新たなセーフティネット構築の提案,2025-07-12T05:53:52Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5690
5688,匿名ユーザーからの提案：ライフステージに応じた多様な働き方とキャリア形成支援の追加,2025-07-12T05:47:18Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5688
5687,皇位の安定継承についての提案,2025-07-12T05:47:07Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5687
5686,在外邦人の投票権を保障するため、国政選挙へのオンライン投票導入を提案,2025-07-12T05:45:32Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5686
5685,マニフェスト改善案：マイナンバーカードへの終末医療に関する意思登録の提案,2025-07-12T05:42:26Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5685
5676,Leoさんによる「新しい公務員制度」の提案,2025-07-12T04:58:57Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5676
5672,政治の透明性を高めるため、マニフェ-スト報告義務化の仕組みを提案,2025-07-12T04:51:25Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5672
5659,マニフェストの実行戦略を具体化する提案,2025-07-12T04:21:37Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5659
5649,【政策提案】自動車関連税制の抜本改革と、愛車を長く使うための新制度導入,2025-07-12T03:44:39Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5649
5648,保護者の協力に左右されない、デジタル技術を活用した学習支援の提案,2025-07-12T03:38:12Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5648
5647,ジン〆さんによる、政策の具体性と透明性向上に関する改善提案,2025-07-12T03:20:28Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5647
5645,14さんの提案：子どもを性的搾取から守るための包括的対策強化,2025-07-12T03:19:22Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5645
5644,尊厳死の制度化に関する議論の開始,2025-07-12T03:04:59Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5644
5641,財政運営の基本方針案,2025-07-12T03:03:55Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5641
5638,匿名ユーザー様からの提案に基づく子育て支援政策の追加,2025-07-12T02:59:42Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5638
5636,匿名ユーザーによる提案：AI相談窓口の導入による子どものいじめ早期発見・対応策,2025-07-12T02:43:17Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5636
5633,外国人材の受け入れに関する基本方針の追加,2025-07-12T02:38:43Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5633
5631,奨学金制度改革：返済額の所得控除による負担軽減（ユウさんからの提案）,2025-07-12T02:29:50Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5631
5630,「チームみらいについて」にLGBTに関する理念と具体的な政策例を追加,2025-07-12T02:29:09Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5630
5629,義務教育における教材費等の公的負担について、市民の声を反映する事例を追記,2025-07-12T02:17:27Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5629
5628,あまのさんからの総合政策提案：少子化対策、現役世代支援、医療制度改革,2025-07-12T02:06:06Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5628
5622,【馬場さん提案】持続可能な観光立国に向けた「観光目的税」の新設,2025-07-12T01:38:27Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5622
5620,ネット広告のゾーニング導入と法整備に関する提案,2025-07-12T01:34:46Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5620
5615,AI活用の原則を強化し、その限界と責任を明確化する提案 by ユーザー14,2025-07-12T01:19:35Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5615
5614,【匿名ユーザーさん提案】年少扶養控除の復活検討を100日プランに追加,2025-07-12T01:17:47Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5614
5613,提案：外国人等による投機目的の不動産取得への対策,2025-07-12T01:17:17Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5613
5612,ステップ１「教育」に包括的性教育と人権教育の推進を追記,2025-07-12T01:11:26Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5612
5603,【14さん提案】水資源の安全保障に関する政策を追加,2025-07-12T00:41:58Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5603
5601,AI活用における政治家の責任を明確化,2025-07-12T00:21:12Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5601
5596,ぴよぴよさんによる政策改善提案：教育、デジタル民主主義、発言の安全性に関する更新,2025-07-12T00:05:50Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5596
5587,【ぺんぺんさんご提案】いつでもどこでも投票！安全・便利なオンライン投票制度の導入,2025-07-11T22:48:58Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5587
5586,不妊治療支援の拡充,2025-07-11T22:35:57Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5586
5585,行政手続きの抜本的改革に関する具体例の追記,2025-07-11T22:27:54Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5585
5583,「結婚の平等の実現に向けた法整備の推進」をマニフェストに明記,2025-07-11T22:16:27Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5583
5581,新たな政策課題（宗教法人課税、国会オープン化、議員活動の可視化）の追加,2025-07-11T22:09:32Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5581
5575,【のりさんからの提案】産後の保育園利用に関する改善提案,2025-07-11T20:48:57Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5575
5570,14様からのご提案：暮らしと安全、文化を未来へつなぐ政策アイデア,2025-07-11T18:54:55Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5570
5566,大規模災害対策の強化に関する包括的提案,2025-07-11T18:06:45Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5566
5561,国公立大学における学生寮のセーフティネット機能の拡充,2025-07-11T17:13:56Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5561
5560,らいむさんより：健康保険制度の一元化と高額療養費制度に関する改善提案,2025-07-11T17:11:17Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5560
5553,政策提案：自然環境と生物多様性の保全に関する新規マニフェストの追加,2025-07-11T16:32:23Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5553
5549,「表現の自由に対する考え方」の項目を追加,2025-07-11T16:04:06Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5549
5545,マニフェストの副題を、より温かく分かりやすいものに変更,2025-07-11T15:33:04Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5545
5544,宗教との関わりに悩む子どもを守り、権利を保障するための具体的な政策の提案,2025-07-11T15:29:21Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5544
5541,けんさんの提案：社会保障の理念を明確化し、未来のための重要課題（年金・外国人政策・消費税）の議論を開始する提案,2025-07-11T15:26:03Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5541
5540,提案：選択的夫婦別姓と同性婚の法制化推進を明記,2025-07-11T15:22:00Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5540
5539,匿名ユーザーによる政策改善提案：選挙、司法、年金運用など,2025-07-11T15:19:20Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5539
5538,README.md：議論のハイライトを追加し、デジタル母子手帳の災害時対策に関する議論を反映,2025-07-11T15:13:47Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5538
5537,feat: 匿名ユーザーによるシェルター整備政策の提案を追加,2025-07-11T15:03:49Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5537
5534,「社会的養護の改革」に関する包括的な改善提案,2025-07-11T14:52:55Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5534
5531,「産業」政策における多様な業種への配慮の必要性について,2025-07-11T14:44:34Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5531
5528,ひろこさん提案：「AIコンシェルジュ」と「心のセーフティネット」の創設,2025-07-11T14:40:19Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5528
5520,AI活用による財源確保と、世代を超えた安心保障の実現,2025-07-11T14:09:13Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5520
5516,【AIのミスにより撤回】ジェンダー問題に関する基本方針の追加,2025-07-11T14:03:51Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5516
5515,家族の一体感を守りつつ、旧姓使用の不便を解消する提案,2025-07-11T14:00:31Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5515
5513,マニフェストの改善：キャッチコピー追加と表現の現代化,2025-07-11T13:53:51Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5513
5512,政策提案：国立病院の財政基盤の安定化,2025-07-11T13:52:31Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5512
5505,義務教育における新しい体育の導入,2025-07-11T13:38:02Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5505
5502,移民政策に関する項目の追加と、慎重な検討を促す基本方針の明記,2025-07-11T13:29:48Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5502
5497,メンタルヘルス政策に関する新たな視点の追加,2025-07-11T13:03:39Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5497
5494,AIと労働力の未来に関する新たな方針の提案,2025-07-11T12:48:14Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5494
5489,選挙期間中のマニフェストの取り扱いに関するルールを追加,2025-07-11T12:30:02Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5489
5488,表現の自由と創作活動の支援に関する政策の追加,2025-07-11T12:28:36Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5488
5487,ともきさんによる東京一極集中の是正と地方創生に関する提案,2025-07-11T12:24:36Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5487
5483,障害児支援の充実と、それが少子化対策にも繋がる視点の追加,2025-07-11T12:17:53Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5483
5480,政策要望の見える化,2025-07-11T12:01:44Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5480
5474,医療制度の持続可能性と公平性に関する改善提案,2025-07-11T11:37:44Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5474
5473,【ゆさん提案】外国人との共生・移民政策に関するたたき台の追加,2025-07-11T11:32:36Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5473
5465,あさんのご提案：子どもの心理的安全性を確保するための施策を追加,2025-07-11T11:13:29Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5465
5463,しおちゃんさんによる政策マニフェスト改善提案,2025-07-11T11:11:04Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5463
5461,のぶちょさんによる医療制度改革の提案,2025-07-11T11:05:59Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5461
5453,グリーンインフラ・流域治水の項目追加,2025-07-11T10:42:33Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5453
5452,自動車関連税の全廃による経済活性化策の提案,2025-07-11T10:42:19Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5452
5451,ひとり親家庭への支援拡充に関する提案,2025-07-11T10:37:01Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5451
5447,選択的夫婦別姓制度の早期実現をマニフェストに明記する提案,2025-07-11T10:21:11Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5447
5443,インボイス制度の見直しを提案,2025-07-11T10:08:09Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5443
5441,[匿名ユーザー様提案] 障害のある方々とその家族への支援拡充,2025-07-11T10:02:15Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5441
5439,性犯罪の厳罰化についての提案,2025-07-11T09:47:53Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5439
5432,エネルギー政策に関する基本姿勢をマニフェストの冒頭に明記,2025-07-11T08:45:34Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5432
5430,政策提案：外国人による土地取得に関する検討項目の追加,2025-07-11T08:40:30Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5430
5426,政策提案：小児性犯罪の厳罰化と再犯防止策の導入,2025-07-11T08:11:58Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5426
5423,【なぎささん提案】READMEに「よくあるご質問」セクションを追加,2025-07-11T08:00:52Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5423
5422,同性婚の法制化をマニフェストに追加,2025-07-11T07:59:39Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5422
5417,産前産後ケアの抜本的拡充（産前休暇の柔軟化と就労環境の改善）,2025-07-11T07:51:06Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5417
5413,移民・難民制度の見直しに関する提案,2025-07-11T07:47:40Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5413
5412,「表現の自由」に関する基本的な考え方を追記,2025-07-11T07:40:13Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5412
5399,ぱやさんによる社会保障をセーフティネットとして明確化する提案,2025-07-11T06:50:35Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5399
5397,卵子凍結への支援策を新設する提案,2025-07-11T06:40:41Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5397
5391,マニフェスト目次の明確化：「外交・安全保障」の追記,2025-07-11T06:25:31Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5391
5386,小林由美子さんからの提案：誰もが相談しやすい仕組みの明記と、外国人との共生に関する政策議論の提起,2025-07-11T05:58:53Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5386
5381,匿名ユーザーからの提案：財源確保と経済活性化に関する総合的な税制改革,2025-07-11T05:42:44Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5381
5380,"【政策提案 by y,f】目次に「外国人との共生社会の実現」の項目を追加",2025-07-11T05:37:35Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5380
5374,オンライン・公共空間における広告の健全化に関する政策の追加,2025-07-11T05:13:37Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5374
5369,moさんによる「在外選挙におけるオンライン投票の導入」の提案,2025-07-11T05:01:47Z,app/idobata-policy-app,README,,,,https://github.com/team-mirai/policy/pull/5369
